id,mode,bar_count,bar_width,bar_angle,curve_amount,bg_color1,bg_color2,bg_style,glass_color1,glass_color2,glass_opacity,glass_highlight,speed,light_color1,light_color2,light_size,light_speed,fiber_count,fiber_spread,fiber_length,fiber_glow,fiber_color1,fiber_color2,wave_intensity,wave_color1,wave_color2,wave_color3,vignette,duration,fps,width,height,title,keywords
curv_cosmic_violet_teal_11,curved,29,1.35,49,1.05,#1c0d3a,#f97316,radial,#06b6d4,#2563eb,0.12,0.39,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Cinematic Cosmic Violet Teal Glass Panels Motion Background (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,cyan,blue,purple,orange,refraction,nebula,abstract,loop,space,glassmorphism,curved,4K UHD,slats"
glas_emerald_dream_green_12,glass_wave,36,0.8,0,0.0,#022c22,#fbbf24,radial,#10b981,#84cc16,0.12,0.43,1,,,,,,,,,,,0.94,#10b981,#84cc16,#fbbf24,0.5,10.0,30,3840,2160,Modernist Emerald Dream Green Fluted Glass Wall Abstract Graphics (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,green,lime,emerald,gold,forest,nature,abstract,gradient,loop,glassmorphism,glass_wave,4K UHD,slats"
diag_sunset_fire_flare_13,diagonal,43,0.85,-50,0.0,#450a0a,#facc15,radial,#f97316,#db2777,0.12,0.47,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Vibrant Sunset Fire Flare Glass Slats Prism Wave Seamless (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,red,orange,pink,yellow,sunset,fire,warm,flare,glowing,abstract,glassmorphism,diagonal,4K UHD,slats"
curv_cyberpunk_neon_pink_14,curved,19,0.9,33,1.5,#0f172a,#ec4899,radial,#db2777,#a855f7,0.12,0.51,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Premium Cyberpunk Neon Pink Glassmorphic Geometric Flow Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,pink,magenta,purple,dark,violet,neon,retro,cyberpunk,futuristic,glassmorphism,curved,4K UHD,slats"
glas_luxury_obsidian_gold_15,glass_wave,26,0.95,0,0.0,#171717,#b45309,radial,#f59e0b,#fbbf24,0.12,0.55,1,,,,,,,,,,,1.15,#f59e0b,#fbbf24,#b45309,0.5,10.0,30,3840,2160,Abstract Luxury Obsidian Gold Reeded Glass Refraction Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,gold,luxury,premium,yellow,amber,black,dark,elegant,exclusive,glassmorphism,glass_wave,4K UHD,slats"
diag_ice_lagoon_blue_16,diagonal,33,1.0,-25,0.0,#0c4a6e,#22d3ee,radial,#34d399,#4f46e5,0.12,0.59,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Cinematic Ice Lagoon Blue Glass Panels Motion Background (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,cyan,blue,mint,green,teal,glacier,winter,lagoon,abstract,motion,glassmorphism,diagonal,4K UHD,slats"
curv_aurora_cosmic_green_17,curved,40,1.05,48,0.75,#3b0764,#a3e635,radial,#06b6d4,#c084fc,0.12,0.63,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Modernist Aurora Cosmic Green Fluted Glass Wall Abstract Graphics (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,aurora,northern lights,green,purple,cyan,magical,neon,mystic,glow,glassmorphism,curved,4K UHD,slats"
glas_crimson_sapphire_blue_red_18,glass_wave,16,1.1,0,0.0,#030712,#dc2626,radial,#f87171,#0ea5e9,0.12,0.67,1,,,,,,,,,,,1.36,#f87171,#0ea5e9,#dc2626,0.5,10.0,30,3840,2160,Vibrant Crimson Sapphire Blue Red Glass Slats Prism Wave Seamless (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,red,blue,navy,ruby,sapphire,contrast,bold,modern,graphics,glassmorphism,glass_wave,4K UHD,slats"
diag_obsidian_orange_glow_19,diagonal,23,1.15,25,0.0,#09090b,#ea580c,radial,#f59e0b,#ffedd5,0.12,0.71,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Premium Obsidian Orange Glow Glassmorphic Geometric Flow Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,orange,amber,black,peach,glow,minimal,clean,contrast,sleek,glassmorphism,diagonal,4K UHD,slats"
curv_deep_amethyst_orchid_20,curved,30,1.2,32,1.2,#080710,#d946ef,radial,#7c3aed,#c084fc,0.12,0.35,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Abstract Deep Amethyst Orchid Reeded Glass Refraction Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,purple,orchid,magenta,dark,lilac,glow,luxury,elegant,abstract,loop,glassmorphism,curved,4K UHD,slats"
glas_cosmic_violet_teal_21,glass_wave,37,1.25,0,0.0,#1c0d3a,#f97316,radial,#06b6d4,#2563eb,0.12,0.39,1,,,,,,,,,,,0.87,#06b6d4,#2563eb,#f97316,0.5,10.0,30,3840,2160,Cinematic Cosmic Violet Teal Glass Panels Motion Background (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,cyan,blue,purple,orange,refraction,nebula,abstract,loop,space,glassmorphism,glass_wave,4K UHD,slats"
diag_emerald_dream_green_22,diagonal,44,1.3,50,0.0,#022c22,#fbbf24,radial,#10b981,#84cc16,0.12,0.43,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Modernist Emerald Dream Green Fluted Glass Wall Abstract Graphics (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,green,lime,emerald,gold,forest,nature,abstract,gradient,loop,glassmorphism,diagonal,4K UHD,slats"
curv_sunset_fire_flare_23,curved,20,1.35,47,1.65,#450a0a,#facc15,radial,#f97316,#db2777,0.12,0.47,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Vibrant Sunset Fire Flare Glass Slats Prism Wave Seamless (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,red,orange,pink,yellow,sunset,fire,warm,flare,glowing,abstract,glassmorphism,curved,4K UHD,slats"
glas_cyberpunk_neon_pink_24,glass_wave,27,0.8,0,0.0,#0f172a,#ec4899,radial,#db2777,#a855f7,0.12,0.51,1,,,,,,,,,,,1.08,#db2777,#a855f7,#ec4899,0.5,10.0,30,3840,2160,Premium Cyberpunk Neon Pink Glassmorphic Geometric Flow Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,pink,magenta,purple,dark,violet,neon,retro,cyberpunk,futuristic,glassmorphism,glass_wave,4K UHD,slats"
diag_luxury_obsidian_gold_25,diagonal,34,0.85,-50,0.0,#171717,#b45309,radial,#f59e0b,#fbbf24,0.12,0.55,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Abstract Luxury Obsidian Gold Reeded Glass Refraction Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,gold,luxury,premium,yellow,amber,black,dark,elegant,exclusive,glassmorphism,diagonal,4K UHD,slats"
curv_ice_lagoon_blue_26,curved,41,0.9,31,0.9,#0c4a6e,#22d3ee,radial,#34d399,#4f46e5,0.12,0.59,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Cinematic Ice Lagoon Blue Glass Panels Motion Background (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,cyan,blue,mint,green,teal,glacier,winter,lagoon,abstract,motion,glassmorphism,curved,4K UHD,slats"
glas_aurora_cosmic_green_27,glass_wave,17,0.95,0,0.0,#3b0764,#a3e635,radial,#06b6d4,#c084fc,0.12,0.63,1,,,,,,,,,,,1.29,#06b6d4,#c084fc,#a3e635,0.5,10.0,30,3840,2160,Modernist Aurora Cosmic Green Fluted Glass Wall Abstract Graphics (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,aurora,northern lights,green,purple,cyan,magical,neon,mystic,glow,glassmorphism,glass_wave,4K UHD,slats"
diag_crimson_sapphire_blue_red_28,diagonal,24,1.0,-25,0.0,#030712,#dc2626,radial,#f87171,#0ea5e9,0.12,0.67,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Vibrant Crimson Sapphire Blue Red Glass Slats Prism Wave Seamless (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,red,blue,navy,ruby,sapphire,contrast,bold,modern,graphics,glassmorphism,diagonal,4K UHD,slats"
curv_obsidian_orange_glow_29,curved,31,1.05,46,1.35,#09090b,#ea580c,radial,#f59e0b,#ffedd5,0.12,0.71,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Premium Obsidian Orange Glow Glassmorphic Geometric Flow Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,orange,amber,black,peach,glow,minimal,clean,contrast,sleek,glassmorphism,curved,4K UHD,slats"
glas_deep_amethyst_orchid_30,glass_wave,38,1.1,0,0.0,#080710,#d946ef,radial,#7c3aed,#c084fc,0.12,0.75,1,,,,,,,,,,,0.8,#7c3aed,#c084fc,#d946ef,0.5,10.0,30,3840,2160,Abstract Deep Amethyst Orchid Reeded Glass Refraction Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,purple,orchid,magenta,dark,lilac,glow,luxury,elegant,abstract,loop,glassmorphism,glass_wave,4K UHD,slats"
